iso3,country,year,magnitude,total_deaths,total_affected,total_damage_kUSD,total_damage_adj_kUSD,pre_event_avg_gdp,gdp_event_year,gdp_drop,recovery_years,gdp_per_capita_event_year,unemployment_event_year,income_group
COL,Colombia,1993.0,6.1,2.0,3071.0,,,,,,,1929.26721811738,7.8,Lower-Middle
IRN,Iran (Islamic Republic of),1993.0,5.1,,1003.0,,,,,,,1038.10985682067,10.573,Low
GRC,Greece,1993.0,5.3,,605.0,,,,,,,10257.3085789073,10.177,Upper-Middle
NPL,Nepal,1993.0,5.1,,285.0,,,,,,,172.805202579767,10.492,Low
IND,India,1993.0,4.6,,525.0,,,,,,,302.884806246174,7.662,Low
CHN,China,1993.0,5.2,,504.0,,,,,,,378.939353053314,2.69,Low
USA,United States of America,1994.0,6.6,60.0,27000.0,30000000.0,63489069.0,,,,,27694.853416234,6.119,High
IDN,Indonesia,1994.0,6.8,7.0,200040.0,,,,,,,899.793982949817,4.366,Low
IDN,Indonesia,1994.0,7.2,207.0,49399.0,170476.0,360779.0,,,,,899.793982949817,4.366,Low
IRN,Iran (Islamic Republic of),1994.0,6.1,9.0,1500.0,1400.0,2963.0,,,,,1167.76272513795,10.458,Lower-Middle
IRN,Iran (Islamic Republic of),1994.0,5.6,3.0,15041.0,,,,,,,1167.76272513795,10.458,Lower-Middle
UGA,Uganda,1994.0,6.2,7.0,50000.0,70000.0,148141.0,,,,,198.441987998795,3.458,Low
AFG,Afghanistan,1994.0,6.3,160.0,100330.0,,,,,,,,7.883,
BOL,Bolivia (Plurinational State of),1994.0,7.5,5.0,,,,,,,,774.035669644318,3.08,Low
COL,Colombia,1994.0,6.4,271.0,37416.0,2400.0,5079.0,,,,,2325.91872973374,8.25,Lower-Middle
IDN,Indonesia,1994.0,7.2,239.0,8720.0,2200.0,4656.0,,,,,899.793982949817,4.366,Low
IRN,Iran (Islamic Republic of),1994.0,6.0,2.0,100.0,,,,,,,1167.76272513795,10.458,Lower-Middle
VUT,Vanuatu,1994.0,7.3,,,,,,,,,1430.99367776483,8.083,Lower-Middle
DZA,Algeria,1994.0,5.6,171.0,12789.0,,,,,,,1525.54061760288,27.74,Lower-Middle
CHN,China,1994.0,6.8,1.0,500.0,,,,,,,475.677874448369,2.9,Low
JPN,Japan,1994.0,7.5,2.0,285.0,170400.0,360618.0,,,,,39933.5150564874,2.89,High
RUS,Russian Federation,1994.0,7.9,11.0,2342.0,,,,,,,2662.10400390625,8.131,Lower-Middle
JPN,Japan,1994.0,7.9,5.0,1500.0,,,,,,,39933.5150564874,2.89,High
IDN,Indonesia,1994.0,6.3,1.0,2437.0,,,,,,,899.793982949817,4.366,Low
PHL,Philippines,1994.0,7.1,81.0,270866.0,3700.0,7830.0,,,,,1059.9838951587,3.767,Low
USA,United States of America,1994.0,5.3,,225.0,2100.0,4444.0,,,,,27694.853416234,6.119,High
CHN,China,1994.0,6.1,,5860.0,,,,,,,475.677874448369,2.9,Low
AUS,Australia,1994.0,5.4,,5025.0,,,,,,,18155.6282000179,9.724,High
IDN,Indonesia,1994.0,5.7,,67.0,,,,,,,899.793982949817,4.366,Low
CHN,China,1994.0,5.8,,285.0,,,,,,,475.677874448369,2.9,Low
PHL,Philippines,1994.0,5.6,,218.0,,,,,,,1059.9838951587,3.767,Low
COL,Colombia,1995.0,6.5,7.0,2845.0,,,,,,,2583.66576349858,8.72,Lower-Middle
JPN,Japan,1995.0,7.2,5297.0,541636.0,100000000.0,205855147.0,,,,,44197.6191013908,3.15,High
COL,Colombia,1995.0,6.4,40.0,15097.0,,,,,,,2583.66576349858,8.72,Lower-Middle
CYP,Cyprus,1995.0,5.8,2.0,1865.0,4340.0,8934.0,,,,,15261.4169921875,2.6,High
ECU,Ecuador,1995.0,5.2,1.0,85.0,,,,,,,2108.00698245316,4.408,Lower-Middle
COL,Colombia,1995.0,5.1,8.0,259.0,,,,,,,2583.66576349858,8.72,Lower-Middle
PHL,Philippines,1995.0,7.3,,,,,,,,,1199.84171414993,3.68,Lower-Middle
IDN,Indonesia,1995.0,6.8,15.0,176.0,,,,,,,1011.22614205568,4.611,Low
GRC,Greece,1995.0,6.6,26.0,15060.0,450000.0,926348.0,,,,,12779.081491606,10.116,Upper-Middle
IDN,Indonesia,1995.0,5.5,,1538.0,,,,,,,1011.22614205568,4.611,Low
RUS,Russian Federation,1995.0,7.6,1989.0,750.0,64100.0,131953.0,,,,,2665.77978515625,9.449,Lower-Middle
CHN,China,1995.0,7.1,11.0,1000136.0,36100.0,74314.0,,,,,612.680277898627,3.0,Low
